id,author,tag,text,detail,filters,has_diagram
ec7,eco,"Dizionario vs. Enciclopedia","DIZIONARIO: albero chiuso (genus + differentia). ENCICLOPEDIA: rete aperta di interpretanti, limitata dall'abito.","Dizionario: albero di Porfirio / Katz & Fodor. 'Scapolo' = [+umano, +maschio, +adulto, +non sposato]. Problemi: (1) i semi sono parole → regresso infinito; (2) non rende conto della conoscenza enciclopedica. Enciclopedia: rete rizomatica, potenzialmente infinita. Esempio: la conoscenza enciclopedica di «gatto»: fa le fusa, caccia i topi, è stato adorato nell'antico Egitto, è protagonista di meme su internet — niente di questo entra in un dizionario a condizioni necessarie e sufficienti. L'enciclopedia è un postulato semiotico: non esiste nella sua totalità, è l'orizzonte regolativo dell'interpretazione.","significato; interpretazione",dizionarioEnciclopedia
ec8,eco,"Enciclopedia come postulato","L'enciclopedia integra la forma hjelmsleviana (struttura) con il processo peirciano (semiosi). È postulato, non oggetto.","L'enciclopedia non è un dizionario più grande — è un modello teorico diverso. Integra la forma del contenuto di Hjelmslev (la rete di differenze che struttura il significato) con la semiosi illimitata di Peirce (il processo per cui ogni interpretante ne genera altri). Non esiste nella sua totalità: è l'insieme delle interpretazioni possibili, limitato pragmaticamente dall'abito peirciano e dalla negoziazione sociale.","significato; interpretazione",
ec9,eco,"Codice: simmetria invertita","Per il CODICE il modello originario ERA quello ristretto. La riformulazione in senso allargato è un 'nuovo battesimo'.","Simmetria invertita rispetto al segno (cap. 3, La famiglia dei codici): per il segno, il modello allargato (inferenziale) era l'originario → va riscoperto. Per il codice, il modello ristretto (correlazionale) era l'originario → l'allargamento è un nuovo e arbitrario battesimo. Tre accezioni storiche di 'codice': paleografico (il codex, tronco d'albero → libro), correlazionale (il codice Morse: corrispondenza termine a termine), istituzionale (il codice civile: sistema di norme).","codice; storia",
ec10,eco,"Codice crittografico","Il codice crittografico è il modello puro dell'equivalenza: se ogni segno fosse così, sarebbe IL modello semiotico.","Il codice crittografico instaura «rapporti di assoluta equivalenza tra espressione e contenuto»: il definiens è sostituibile col definiendum in ogni contesto. Esempio: il codice dell'abate Tritemio (1499): A=«Annuncidi», B=«Sempre», C=«Mondo senza fine»… — corrispondenza biunivoca totale. Ma: «se il segno è basato sul modello dell'inferenza ed è il punto di partenza per un indefinito processo di interpretazione, allora il modello crittografico non definisce la vita dei sistemi semiotici» — descrive solo le semie sostitutive.","codice; segno",
ec11,eco,"Codici forti / deboli","Codici forti (correlazione stabile) e codici deboli (instabili, abduttivi): gradiente dal ristretto all'allargato.","Il gradiente va dalla massima cogenza (equivalenza) alla minima (abduzione). Codice forte: correlazione stabile, quasi-equivalenza. Esempio: il codice Morse, il codice della strada. Codice debole: correlazione instabile, ipotetica, abduttiva. Esempio: i sintomi medici, gli indizi di un detective. Eco nota che la nozione di codice si dissolve progressivamente in quella di enciclopedia man mano che la cogenza si indebolisce: quando il 'se…allora' diventa ipotetico, non si ha più un codice ma un'interpretazione.","codice; interpretazione",
ec12,eco,"Ratio facilis / difficilis","Ratio facilis: tipo espressivo preformato. Ratio difficilis: tipo espressivo modellato sul tipo del contenuto.","Eco propone non una tipologia dei segni ma dei modi di produrre segni. Ratio facilis: il tipo espressivo è preformato, correlato arbitrariamente al contenuto. Esempio: la parola 'cavallo' non somiglia a un cavallo — il tipo espressivo era già nel sistema. Ratio difficilis: per mancanza di tipo preformato, l'espressione si modella sul contenuto. Esempio: un diagramma ferroviario che proietta rapporti spaziali tra Torino, Bologna e Firenze — l'espressione riproduce la struttura del contenuto. Un singolo segno è di solito il risultato di più modi produttivi combinati.","segno; forma",
ec13,eco,"Equivocità di 'simbolo'","Il 'simbolo' peirciano (convenzionale) ≠ 'simbolo' saussuriano (motivato) ≠ 'simbolico' hjelmsleviano (uniplanare).","Tre usi irriducibili dello stesso termine: Peirce: simbolo = segno per convenzione/legge (parole, segnali). Saussure: simbolo = segno non del tutto arbitrario, con residuo di legame naturale (la bilancia della giustizia «non è del tutto arbitraria»). Hjelmslev: simbolico = sistema uniplanare isomorfo (scacchi, diagrammi, emblemi). Eco ricostruisce questa «rete di somiglianze di famiglia» mostrando come il «medesimo» termine dica cose diverse in quadri teorici diversi.","segno",
ec14,eco,"Modi di produzione segnica","Tracce, sintomi, indizi: modi di produzione segnica con gradi diversi di ratio e codificazione.","Tracce/impronte: rette da ratio difficilis — l'impronta «dice che, data una configurazione su superficie imprimibile, allora una data classe di agenti impressori». Esempio: un'orma nella neve → classe di animali. Sintomi: retti da ratio facilis quando già codificati (il sintomo è riconosciuto nel sistema medico) — rinviano a una causa per esperienza codificata. Esempio: febbre alta + macchie → morbillo. Ma un sintomo non ancora codificato è più vicino alla ratio difficilis e all'abduzione. La tavola dei modi non classifica segni ma processi produttivi: «quello che viene chiamato un segno è di solito il risultato di più modi produttivi diversi».","segno; interpretazione",
ec15,eco,"Connotazione vs. Semiosi","La connotazione hjelmsleviana (stratificazione sistemica) differisce dalla semiosi peirciana (dinamica processuale), ma Eco le integra.","Hjelmslev: la connotazione è stratificazione statica di livelli semiotici — una semiotica denotativa che diventa espressione di ulteriore contenuto. Peirce: la semiosi è processo dinamico di generazione di interpretanti — il significato si espande nel tempo. Eco integra entrambe: la connotazione descrive come i sistemi si impilano; la semiosi descrive come il significato si genera. Non c'è contraddizione: sono due prospettive complementari sullo stesso fenomeno.","segno; interpretazione; forma",
ec16,eco,"Struttura unitaria del segno","Non c'è differenza di struttura semiotica tra primo e secondo livello: ciò che muta è la cogenza del se/allora.","Tra denotazione e connotazione, tra codice forte e codice debole: ciò che cambia è il grado di necessità epistemologica del «se…allora», non la struttura del segno. «Non c'è dunque differenza di struttura semiotica tra significazione di primo e di secondo livello.» Il segno è sempre inferenziale: più o meno cogente, ma strutturalmente unitario. Questa è l'unificazione finale di Eco: un solo modello semiotico con un gradiente di forza.","segno; codice; interpretazione",
